group_type,group,frame,rank,tfidf,distilbert
province,national,development,7,deprem,şampiyonları
province,national,development,8,alan,i̇nsanları
province,national,development,9,dönüşüm,kurul
province,national,development,10,ediyor,altyapı
province,national,sustainability,1,çevre,konferansı
province,national,sustainability,2,klim,dönüşüm
province,national,sustainability,3,atık,yeşi̇l
province,national,sustainability,4,sıfır,temi̇z
province,national,sustainability,5,yüzde,başkani
province,national,sustainability,6,iklim,şehi̇rci̇li̇k
province,national,sustainability,7,yeşil,ilde
province,national,sustainability,8,sıfır atık,planı
province,national,sustainability,9,dönüşümü,stratejisi
province,national,sustainability,10,klim değişikliği,cop28
province,kahramanmaras,technical,1,bilgiler,bakani
province,kahramanmaras,technical,2,şehrin,asfalt
province,kahramanmaras,technical,3,inşa,şehi̇rci̇li̇k
province,kahramanmaras,technical,4,deprem,deği̇şi̇kli̇ği̇
province,kahramanmaras,technical,5,heyet,tamamlandığı
province,kahramanmaras,technical,6,çalışmaları,kentsel
province,kahramanmaras,technical,7,çalışmalar,çalışmalarını
province,kahramanmaras,technical,8,şehir,kalıcı
province,kahramanmaras,technical,9,noktasında,belirten
province,kahramanmaras,technical,10,imar,malikleri
province,kahramanmaras,political,1,eden,cumhurbaşkanımıza
province,kahramanmaras,political,2,parti,afet
province,kahramanmaras,political,3,araya,toki̇
province,kahramanmaras,political,4,ak parti,kura
province,kahramanmaras,political,5,deprem,ziyaretlerde
province,kahramanmaras,political,6,dedi,etti
province,kahramanmaras,political,7,ak,depremlerinin
province,kahramanmaras,political,8,bulundu,töreni
province,kahramanmaras,political,9,türkoğlu,anahtar
province,kahramanmaras,political,10,ayağa,yüzyılı
province,kahramanmaras,development,1,geçici,tahsisi
province,kahramanmaras,development,2,şehrin,depremzedelerin
province,kahramanmaras,development,3,bilgiler,etap
province,kahramanmaras,development,4,inşa,tesisleri
province,kahramanmaras,development,5,iş,tamamlandı
province,kahramanmaras,development,6,devam ediyor,projesi
province,kahramanmaras,development,7,ediyor,kura
province,kahramanmaras,development,8,ulaşım,prefabrik
province,kahramanmaras,development,9,eğitim,incelemelerde
province,kahramanmaras,development,10,ayağa,yerlerinin
province,kahramanmaras,sustainability,1,çevre,depremde
province,kahramanmaras,sustainability,2,temizlik,hibe
province,kahramanmaras,sustainability,3,dedi,tesisleri
province,kahramanmaras,sustainability,4,çalışmalar,cam
province,kahramanmaras,sustainability,5,dairesi başkanlığı,japonya
province,kahramanmaras,sustainability,6,dairesi,kirişci
province,kahramanmaras,sustainability,7,alan,birliğiyle
province,kahramanmaras,sustainability,8,in,bakanlığı
province,kahramanmaras,sustainability,9,yardımcısı,milletvekili
province,kahramanmaras,sustainability,10,programda,2023
province,hatay,technical,1,hatsu,hibe
province,hatay,technical,2,su,hatlari
province,hatay,technical,3,suyu,altyapı
province,hatay,technical,4,altyapı,konut
province,hatay,technical,5,sağlıklı,hatlarında
province,hatay,technical,6,çalışmalar,çevresel
province,hatay,technical,7,hattı,dairesi
province,hatay,technical,8,yetkilileri,çalişmalarina
province,hatay,technical,9,genel müdürlüğü,yilmaz
province,hatay,technical,10,çalışmaları,yardımcısı
province,hatay,political,1,öntürk,töreni
province,hatay,political,2,il,konut
province,hatay,political,3,tl,konutları
province,hatay,political,4,başkan öntürk,açılış
province,hatay,political,5,il genelinde,toki̇
province,hatay,political,6,mehmet öntürk,mi̇lyar
province,hatay,political,7,deprem,toplu
province,hatay,political,8,ayrıca,anahtar
province,hatay,political,9,ediyor hbb,cami̇
province,hatay,political,10,eden,müjdesi̇
province,hatay,development,1,tl,erzi̇n
province,hatay,development,2,altyapı,hibe
province,hatay,development,3,hatsu,şehi̇rci̇li̇k
province,hatay,development,4,haberin görsellerini,hesob
province,hatay,development,5,skenderun,atma
province,hatay,development,6,asfalt,bakani
province,hatay,development,7,yetkilileri,ekim
province,hatay,development,8,bakım,projeler
province,hatay,development,9,we tl,yilmaz
province,hatay,development,10,https we,hi̇zmet
province,hatay,sustainability,1,atık,bahçesi
province,hatay,sustainability,2,su,çevresel
province,hatay,sustainability,3,hbb,plani
province,hatay,sustainability,4,temizlik,expo
province,hatay,sustainability,5,çevre,planimiz
province,hatay,sustainability,6,ekipleri,nda
province,hatay,sustainability,7,daire,nehri
province,hatay,sustainability,8,fotoğraflarını aşağıdaki,müdürlüğü
province,hatay,sustainability,9,daire başkanlığı,ayında
province,hatay,sustainability,10,fotoğraflarını,i̇kli̇m
